attr0,attr1,water_channel_id
8185083.5,222613.61,0
8179747.5,231862.53,1
8171309.0,234300.58,2
8175409.0,235510.38,3
8184651.5,232513.61,4
8187510.5,231691.2,5
8184882.0,230887.5,6
8188939.0,231879.64,7
8189720.5,231472.84,8
8181563.0,232290.25,9
8190915.0,227930.75,10
8183586.0,235305.25,11
8192030.5,215917.75,12
8191389.0,214838.48,13
8195550.5,217463.0,14
8189752.5,211948.45,15
8196635.5,216490.42,16
8189150.0,215854.22,17
8189132.0,220653.47,18
8195441.5,219696.72,19
8189982.5,231738.33,20
8195056.5,219044.3,21
8195280.5,218694.52,22
8196836.5,218870.95,23
8190389.0,215555.23,24
8191447.5,217967.4,25
8196840.5,219528.83,26
8195241.5,219136.81,27
8191531.5,218002.88,28
8192985.5,219126.19,29
8190710.5,220395.19,30
8191430.0,214364.3,31
8197437.5,227923.03,32
8197194.5,227629.95,33
8186511.0,217469.98,34
8187984.0,220094.34,35
8185749.5,217472.03,36
8193293.0,224165.08,37
8193530.5,220947.64,38
8197466.0,227091.42,39
8197297.0,228669.23,40
8198090.0,227927.33,41
8194165.0,229123.39,42
8195650.0,227246.34,43
8197159.0,228702.84,44
8195525.0,230598.95,45
8195671.0,231164.89,46
8195350.5,228440.88,47
8196349.0,231092.53,48
8192044.5,227803.48,49
8196768.5,231028.27,50
8194755.0,229045.67,51
8196087.5,231326.56,52
8181709.0,236349.33,53
8181385.0,235369.4,54
8182814.5,235404.0,55
8185516.5,234469.5,56
8187416.5,235755.38,57
8187633.0,235509.86,58
8187944.5,236748.48,59
8186894.5,236217.27,60
8185758.0,237710.69,61
8185222.5,236683.75,62
8186407.5,236845.02,63
8186202.0,237012.42,64
8186768.5,238679.34,65
8186661.5,237810.89,66
8186710.0,238043.64,67
8186686.0,237859.52,68
8187078.5,238442.03,69
8187193.5,233563.45,70
8187758.0,233218.8,71
8187240.0,234591.77,72
8187091.5,234734.3,73
8188287.0,234411.0,74
8188137.5,234701.36,75
8190302.5,230946.17,76
8191836.5,230885.53,77
8193056.0,230959.53,78
8192893.0,231213.55,79
8191601.0,230984.28,80
8191238.5,231601.44,81
8192372.5,232079.39,82
8190779.0,233389.6,83
8192109.5,231967.98,84
8191226.5,232736.55,85
8174638.0,235165.23,86
8170070.5,235799.34,87
8170926.0,235232.1,88
8171150.5,236140.61,89
8171911.5,235406.28,90
8173475.5,232152.16,91
8173815.5,233428.9,92
8173545.0,235133.56,93
8173713.0,234759.05,94
8173682.5,234523.4,95
8172344.5,235182.39,96
8172038.5,235361.58,97
8172041.5,235903.81,98
8172121.5,236339.64,99
8172033.0,236952.28,100
8173168.0,232009.3,101
8174453.5,234709.66,102
8174335.0,235981.48,103
8174162.0,235865.28,104
8174050.5,235694.14,105
8176573.0,233412.42,106
8176376.5,231853.31,107
8177716.5,230790.47,108
8178016.0,235581.22,109
8177090.5,238135.12,110
8177812.0,237547.2,111
8178065.0,236682.6,112
8178641.5,235596.69,113
8180279.0,236037.67,114
8180559.5,237054.28,115
8180622.5,237347.86,116
8182410.0,237955.94,117
8182414.5,237502.62,118
8181600.0,237251.53,119
8182084.0,237337.98,120
8182257.5,237307.39,121
8182440.5,237363.4,122
8182479.5,237274.53,123
8182533.5,237353.45,124
8182496.5,234968.31,125
8182095.5,236667.92,126
8181999.5,236902.36,127
8181829.5,236619.33,128
8181548.5,236507.08,129
8180899.5,237348.14,130
8181364.0,237026.25,131
8181351.0,236988.28,132
8181396.0,236985.72,133
8183918.5,237955.98,134
8184431.5,236984.92,135
8184770.5,237225.73,136
8186701.5,236250.81,137
8189795.5,233597.89,138
8189800.5,233054.7,139
8189851.5,233166.23,140
8189289.0,232179.67,141
8189869.5,233108.39,142
8190370.0,232011.84,143
8190463.0,231653.86,144
8192052.0,230753.98,145
8191026.5,229817.5,146
8191871.0,230364.78,147
8194142.5,230270.77,148
8193949.5,229882.64,149
8195326.0,231311.53,150
8197426.5,230828.94,151
8195181.0,228214.44,152
8197560.5,229288.84,153
8197331.5,229377.81,154
8192851.5,224178.55,155
8188969.5,218108.45,156
8191135.0,220646.02,157
8188311.0,218732.16,158
8190773.0,221851.86,159
8185939.0,219739.34,160
8188601.5,220892.78,161
8193380.0,223823.4,162
8193310.0,223309.45,163
8193837.0,222677.44,164
8192822.0,222180.67,165
8193051.0,220376.34,166
8194362.0,223959.5,167
8194156.5,223796.11,168
8194040.5,220274.48,169
8193845.5,220146.53,170
8193532.0,219728.4,171
8193299.5,221657.88,172
8193238.0,220940.38,173
8191110.5,219145.97,174
8193594.0,218853.55,175
8172032.5,236756.94,176
8172220.0,234905.23,177
8171855.5,235303.62,178
8174031.5,231996.27,179
8174394.5,231656.6,180
8174492.0,234074.73,181
8174467.5,234459.03,182
8175211.0,238165.08,183
8180764.5,236572.86,184
8180247.5,236557.28,185
8180452.5,236253.5,186
8180686.5,235126.94,187
8181112.0,234985.14,188
8178329.5,236017.75,189
8182615.5,237804.92,190
8182907.5,238304.08,191
8189264.5,234342.28,192
8189162.5,233552.66,193
8187352.5,236055.88,194
8192777.0,231225.72,195
8194704.0,231269.23,196
8196181.5,230192.4,197
8197940.5,227285.73,198
8192572.5,218503.52,199
8190442.5,232681.1,200
8190159.0,233069.33,201
8190222.0,232663.52,202
8190695.0,232602.38,203
8190758.0,231949.0,204
8191349.0,232571.4,205
8181082.5,220888.73,206
8182878.5,218366.95,207
8183270.0,219164.64,208
8189500.0,215508.1,209
8189290.0,215547.84,210
8196793.0,217189.88,211
8196212.0,216854.16,212
8196102.5,216703.44,213
8195947.5,216515.83,214
8197856.5,218330.02,215
8196589.0,217793.38,216
8184255.5,215372.11,217
